"Date","Price","Open","High","Low","Vol.","Change %"
"23/01/2009","47.30","52.01","55.79","43.97","187.26M","-13.51%"
"22/01/2009","54.69","66.97","69.28","52.38","188.34M","-10.43%"
"21/01/2009","61.06","64.02","65.59","43.69","387.59M","-9.33%"
"20/01/2009","67.34","82.21","90.34","63.74","232.30M","-17.16%"
"19/01/2009","81.29","107.15","113.44","72.79","268.56M","-10.21%"
"16/01/2009","90.53","125.54","127.94","90.53","151.76M","-24.85%"
"15/01/2009","120.46","127.75","133.11","118.70","48.88M","-8.23%"
"14/01/2009","131.26","152.51","153.71","124.89","75.89M","-14.35%"
"13/01/2009","153.25","167.20","169.42","147.15","63.83M","-10.13%"
"12/01/2009","170.52","170.25","176.07","161.29","28.11M","3.13%"
"09/01/2009","165.35","165.35","172.74","161.19","49.37M","1.13%"
"08/01/2009","163.50","157.22","166.27","151.22","47.29M","4.24%"
"07/01/2009","156.85","152.42","161.47","148.82","52.17M","3.98%"
"06/01/2009","150.85","147.28","152.42","142.26","41.47M","1.43%"
"05/01/2009","148.72","149.09","152.14","142.72","26.22M","2.54%"
"02/01/2009","145.03","141.24","147.34","136.34","20.74M","2.35%"
"31/12/2008","141.70","138.65","143.18","138.10","11.05M","2.95%"
"30/12/2008","137.64","140.13","140.13","134.96","18.47M","-0.86%"
"29/12/2008","138.84","132.19","138.84","132.10","21.14M","3.66%"
"24/12/2008","133.94","135.43","135.79","129.88","3.96M","-1.36%"
"23/12/2008","135.79","135.33","137.64","132.19","18.96M","1.31%"
"22/12/2008","134.04","134.31","136.81","129.97","21.29M","-2.15%"
"19/12/2008","136.99","130.48","136.99","125.63","58.73M","5.93%"
"18/12/2008","129.32","134.50","137.82","128.40","61.25M","-3.45%"
"17/12/2008","133.94","138.56","140.41","128.59","30.56M","0.34%"
"16/12/2008","133.48","130.34","136.25","128.59","31.20M","0.41%"
"15/12/2008","132.93","143.18","143.18","131.26","28.17M","-2.76%"
"12/12/2008","136.71","138.56","139.30","127.85","52.64M","-8.14%"
"11/12/2008","148.82","143.48","150.76","140.13","41.70M","3.14%"
"10/12/2008","144.29","149.55","151.49","142.07","37.32M","-3.58%"
"09/12/2008","149.65","148.91","155.00","141.15","38.30M","2.60%"
"08/12/2008","145.86","141.33","148.26","135.05","54.57M","14.18%"
"05/12/2008","127.75","133.94","138.28","126.00","45.16M","-6.05%"
"04/12/2008","135.98","137.58","146.60","135.42","51.61M","-1.73%"
"03/12/2008","138.38","140.96","144.38","130.43","36.97M","-1.77%"
"02/12/2008","140.87","141.52","143.64","132.28","44.78M","-3.48%"
"01/12/2008","145.95","149.00","154.82","141.06","35.18M","-6.73%"
"28/11/2008","156.48","156.11","157.50","146.97","29.62M","1.50%"
"27/11/2008","154.17","152.42","156.11","146.88","23.64M","4.31%"
"26/11/2008","147.80","152.42","154.91","147.43","51.65M","-4.19%"
"25/11/2008","154.27","132.65","155.28","132.65","106.03M","14.00%"
"24/11/2008","135.33","126.65","138.75","126.65","76.16M","9.99%"
"21/11/2008","123.04","122.03","127.75","118.24","66.87M","4.31%"
"20/11/2008","117.96","115.47","122.40","108.26","88.99M","-1.47%"
"19/11/2008","119.72","135.79","138.56","119.16","53.41M","-13.31%"
"18/11/2008","138.10","146.32","149.37","127.48","56.67M","-2.99%"
"17/11/2008","142.35","149.92","150.39","138.47","39.96M","-3.14%"
"14/11/2008","146.97","148.08","155.47","142.81","47.87M","0.89%"
"13/11/2008","145.67","147.80","156.57","143.64","42.62M","-6.24%"
"12/11/2008","155.37","163.60","171.82","146.51","66.11M","-6.04%"
"11/11/2008","165.35","167.38","172.56","161.47","38.06M","-3.24%"
"10/11/2008","170.89","175.41","183.73","169.69","34.68M","-1.70%"
"07/11/2008","173.85","175.51","180.13","170.43","71.92M","2.45%"
"06/11/2008","169.69","174.50","187.06","168.40","96.38M","-6.23%"
"05/11/2008","180.96","175.14","185.21","167.20","88.27M","5.38%"
"04/11/2008","171.72","163.13","174.03","161.01","96.47M","8.40%"
"03/11/2008","158.42","147.80","158.79","144.20","111.96M","-4.14%"
"31/10/2008","165.26","200.45","210.61","147.43","213.59M","-12.84%"
"30/10/2008","189.60","175.79","199.30","174.59","59.54M","7.86%"
"29/10/2008","175.79","181.05","186.83","169.05","71.80M","5.73%"
"28/10/2008","166.27","189.37","189.37","155.65","51.47M","-5.96%"
"27/10/2008","176.80","162.12","183.36","162.12","33.29M","-0.32%"
"24/10/2008","177.36","202.30","202.30","165.44","67.58M","-12.03%"
"23/10/2008","201.61","208.77","212.00","191.22","38.41M","-2.78%"
"22/10/2008","207.38","212.92","221.47","204.61","36.18M","-7.42%"
"21/10/2008","224.01","228.63","230.94","216.85","27.17M","2.43%"
"20/10/2008","218.70","207.84","222.39","197.68","39.95M","7.13%"
"17/10/2008","204.15","204.61","210.38","191.45","44.41M","3.51%"
"16/10/2008","197.22","213.39","217.08","188.91","71.81M","-10.86%"
"15/10/2008","221.24","234.63","235.56","218.93","56.22M","-2.64%"
"14/10/2008","227.24","219.39","236.48","207.38","92.79M","14.28%"
"13/10/2008","198.84","204.38","223.78","190.06","83.07M","3.74%"
"10/10/2008","191.68","189.37","212.46","170.89","121.23M","-14.17%"
"09/10/2008","223.32","263.27","266.50","222.62","77.25M","-13.12%"
"08/10/2008","257.03","242.02","275.05","218.00","172.22M","-2.37%"
"07/10/2008","263.27","292.37","302.06","240.87","120.63M","-9.24%"
"06/10/2008","290.06","313.15","327.47","284.28","83.50M","-14.67%"
"03/10/2008","339.94","318.46","348.02","316.15","79.47M","8.87%"
"02/10/2008","312.23","324.23","331.62","310.15","42.49M","-0.88%"
"01/10/2008","315.00","314.07","324.23","308.53","60.71M","4.44%"
"30/09/2008","301.60","315.92","318.69","290.98","57.06M","-2.32%"
"29/09/2008","308.76","331.62","331.62","301.14","62.80M","-8.80%"
"26/09/2008","338.55","328.39","347.10","304.84","54.94M","-0.95%"
